주상병코드,진료년도,가입자구분,성별,연령,진료실인원(명),진료건수(건),총진료비(천원)
F00-F09,2013년,지역,여자,65세 이상,84053,447456,236193121
F00-F09,2013년,직장,남자,0-4세,255,284,15960
F00-F09,2013년,직장,남자,5-9세,149,431,22356
F00-F09,2013년,직장,남자,10-14세,159,352,19106
F00-F09,2013년,직장,남자,15-19세,236,907,78541
F00-F09,2013년,직장,남자,20-24세,311,1118,165232
F00-F09,2013년,직장,남자,25-29세,332,1113,150540
F00-F09,2013년,직장,남자,30-34세,468,1582,177515
F00-F09,2013년,직장,남자,35-39세,464,1801,283246
F00-F09,2013년,직장,남자,40-44세,627,2149,366496
F00-F09,2013년,직장,남자,45-49세,863,2989,659019
F00-F09,2013년,직장,남자,50-54세,1732,6120,1911851
F00-F09,2013년,직장,남자,55-59세,3152,11990,4128021
F00-F09,2013년,직장,남자,60-64세,5104,21284,7340341
F00-F09,2013년,직장,남자,65세 이상,79207,405944,155764805
F00-F09,2013년,직장,여자,0-4세,209,250,13303
F00-F09,2013년,직장,여자,5-9세,73,256,11197
F00-F09,2013년,직장,여자,10-14세,61,228,9425
F00-F09,2013년,직장,여자,15-19세,136,502,58218
F00-F09,2013년,직장,여자,20-24세,192,568,85668
F00-F09,2013년,직장,여자,25-29세,277,800,65797
F00-F09,2013년,직장,여자,30-34세,340,956,103805
F00-F09,2013년,직장,여자,35-39세,369,1101,143520
F00-F09,2013년,직장,여자,40-44세,734,1825,196795
F00-F09,2013년,직장,여자,45-49세,1201,2828,262333
F00-F09,2013년,직장,여자,50-54세,3295,8604,865421
F00-F09,2013년,직장,여자,55-59세,5693,17160,1884624
F00-F09,2013년,직장,여자,60-64세,8691,29607,4298940
F00-F09,2013년,직장,여자,65세 이상,182892,1027660,519886388
F00-F09,2014년,지역,남자,0-4세,60,62,2650
F00-F09,2014년,지역,남자,5-9세,45,79,5549
F00-F09,2014년,지역,남자,10-14세,71,203,12214
F00-F09,2014년,지역,남자,15-19세,144,476,68412
F00-F09,2014년,지역,남자,20-24세,165,627,73984
F00-F09,2014년,지역,남자,25-29세,182,760,229544
F00-F09,2014년,지역,남자,30-34세,275,1320,358269
F00-F09,2014년,지역,남자,35-39세,349,1535,426672
F00-F09,2014년,지역,남자,40-44세,580,2386,930280
F00-F09,2014년,지역,남자,45-49세,861,3436,1475423
F00-F09,2014년,지역,남자,50-54세,1397,5178,2464385
F00-F09,2014년,지역,남자,55-59세,2235,8486,4700679
F00-F09,2014년,지역,남자,60-64세,2980,11831,5874947
F00-F09,2014년,지역,남자,65세 이상,36659,180439,76860345
F00-F09,2014년,지역,여자,0-4세,35,37,2273
F00-F09,2014년,지역,여자,5-9세,25,35,3594
F00-F09,2014년,지역,여자,10-14세,27,44,4061
F00-F09,2014년,지역,여자,15-19세,67,191,24117
F00-F09,2014년,지역,여자,20-24세,69,209,39956
F00-F09,2014년,지역,여자,25-29세,133,441,101767
F00-F09,2014년,지역,여자,30-34세,188,539,103591
F00-F09,2014년,지역,여자,35-39세,222,817,83110
F00-F09,2014년,지역,여자,40-44세,475,1347,251903
F00-F09,2014년,지역,여자,45-49세,917,2322,393664
F00-F09,2014년,지역,여자,50-54세,2065,5537,781627
F00-F09,2014년,지역,여자,55-59세,3431,9991,1669274
F00-F09,2014년,지역,여자,60-64세,4499,15463,2759129
F00-F09,2014년,지역,여자,65세 이상,95258,520107,279401785
F00-F09,2014년,직장,남자,0-4세,200,231,12733
F00-F09,2014년,직장,남자,5-9세,123,339,18647
F00-F09,2014년,직장,남자,10-14세,165,380,34374
F00-F09,2014년,직장,남자,15-19세,279,1017,121833
F00-F09,2014년,직장,남자,20-24세,335,1133,205116
F00-F09,2014년,직장,남자,25-29세,339,1202,240941
F00-F09,2014년,직장,남자,30-34세,393,1345,157556
F00-F09,2014년,직장,남자,35-39세,455,1754,275187
F00-F09,2014년,직장,남자,40-44세,557,2038,373237
F00-F09,2014년,직장,남자,45-49세,827,3123,657944
F00-F09,2014년,직장,남자,50-54세,1720,6182,1824360
F00-F09,2014년,직장,남자,55-59세,3354,12889,4680488
F00-F09,2014년,직장,남자,60-64세,5341,22422,8466205
F00-F09,2014년,직장,남자,65세 이상,89804,471117,183100898
F00-F09,2014년,직장,여자,0-4세,173,183,10309
F00-F09,2014년,직장,여자,5-9세,68,301,9393
F00-F09,2014년,직장,여자,10-14세,66,339,14945
F00-F09,2014년,직장,여자,15-19세,133,546,40114
F00-F09,2014년,직장,여자,20-24세,189,620,97309
F00-F09,2014년,직장,여자,25-29세,216,543,65836
F00-F09,2014년,직장,여자,30-34세,294,795,98780
F00-F09,2014년,직장,여자,35-39세,388,1065,191341
F00-F09,2014년,직장,여자,40-44세,624,1550,202242
F00-F09,2014년,직장,여자,45-49세,1167,2886,286413
F00-F09,2014년,직장,여자,50-54세,3333,8671,743850
F00-F09,2014년,직장,여자,55-59세,6350,19239,2518073
F00-F09,2014년,직장,여자,60-64세,9241,32388,4567608
F00-F09,2014년,직장,여자,65세 이상,208388,1195605,618884278
F00-F09,2015년,지역,남자,0-4세,33,35,1439
F00-F09,2015년,지역,남자,5-9세,33,49,3578
F00-F09,2015년,지역,남자,10-14세,42,236,9619
F00-F09,2015년,지역,남자,15-19세,110,349,58762
F00-F09,2015년,지역,남자,20-24세,159,640,106912
F00-F09,2015년,지역,남자,25-29세,158,634,162770
F00-F09,2015년,지역,남자,30-34세,242,1196,398035
F00-F09,2015년,지역,남자,35-39세,360,1601,496118
F00-F09,2015년,지역,남자,40-44세,522,2156,869784
F00-F09,2015년,지역,남자,45-49세,810,3367,1476666
F00-F09,2015년,지역,남자,50-54세,1356,5283,2844078
F00-F09,2015년,지역,남자,55-59세,2300,8635,4571808
F00-F09,2015년,지역,남자,60-64세,3138,12308,5788979
F00-F09,2015년,지역,남자,65세 이상,41014,200278,85734816
F00-F09,2015년,지역,여자,0-4세,36,39,1740
F00-F09,2015년,지역,여자,5-9세,21,29,2765
F00-F09,2015년,지역,여자,10-14세,15,52,7767
F00-F09,2015년,지역,여자,15-19세,54,169,18998
F00-F09,2015년,지역,여자,20-24세,73,204,61852
F00-F09,2015년,지역,여자,25-29세,127,423,91599
F00-F09,2015년,지역,여자,30-34세,155,425,88883
F00-F09,2015년,지역,여자,35-39세,244,907,99323
F00-F09,2015년,지역,여자,40-44세,437,1217,241260
F00-F09,2015년,지역,여자,45-49세,833,2119,314766
F00-F09,2015년,지역,여자,50-54세,2039,5199,703476
F00-F09,2015년,지역,여자,55-59세,3771,10918,1606075
F00-F09,2015년,지역,여자,60-64세,5274,17371,2856396
F00-F09,2015년,지역,여자,65세 이상,107503,589694,324353148
F00-F09,2015년,직장,남자,0-4세,192,210,12949
F00-F09,2015년,직장,남자,5-9세,123,328,16623
F00-F09,2015년,직장,남자,10-14세,155,386,31002
F00-F09,2015년,직장,남자,15-19세,246,816,125058
F00-F09,2015년,직장,남자,20-24세,366,1420,301161
F00-F09,2015년,직장,남자,25-29세,316,1250,274765
F00-F09,2015년,직장,남자,30-34세,395,1261,180001
F00-F09,2015년,직장,남자,35-39세,472,1923,295107
F00-F09,2015년,직장,남자,40-44세,598,1934,389906
F00-F09,2015년,직장,남자,45-49세,922,3199,773046
F00-F09,2015년,직장,남자,50-54세,1689,6030,1630970
F00-F09,2015년,직장,남자,55-59세,3459,12827,4637240
F00-F09,2015년,직장,남자,60-64세,5884,24258,8785366
F00-F09,2015년,직장,남자,65세 이상,101461,525295,203341403
F00-F09,2015년,직장,여자,0-4세,170,189,13353
F00-F09,2015년,직장,여자,5-9세,87,359,11449
F00-F09,2015년,직장,여자,10-14세,59,294,9407
F00-F09,2015년,직장,여자,15-19세,124,511,45139
F00-F09,2015년,직장,여자,20-24세,210,702,129850
F00-F09,2015년,직장,여자,25-29세,228,656,78063
F00-F09,2015년,직장,여자,30-34세,259,751,110954
F00-F09,2015년,직장,여자,35-39세,378,933,174036
F00-F09,2015년,직장,여자,40-44세,631,1623,199212
F00-F09,2015년,직장,여자,45-49세,1268,3075,322412
F00-F09,2015년,직장,여자,50-54세,3357,8855,839797
F00-F09,2015년,직장,여자,55-59세,7084,21148,2446540
F00-F09,2015년,직장,여자,60-64세,10547,36210,5195225
