연도,지역코드,지역명,주민등록인구,추계중증정신질환자수,정신건강복지센터 등록  중증정신질환자수,추계중증정신질환자수 대비 정신건강복지센터 등록 중증정신질환자
2021,D18,금천구,230811,2308,184,8.0
2021,D19,영등포구,376837,3768,213,5.7
2021,D20,동작구,385483,3855,209,5.4
2021,D21,관악구,485699,4857,233,4.8
2021,D22,서초구,412279,4123,210,5.1
2021,D23,강남구,533042,5330,209,3.9
2021,D24,송파구,658338,6583,230,3.5
2021,D25,강동구,462664,4627,150,3.2
2020,C01,서울시,9668465,96685,6772,7.0
2020,D01,종로구,149384,1494,216,14.5
2020,D02,중구,125240,1252,162,12.9
2020,D03,용산구,230040,2300,198,8.6
2020,D04,성동구,293556,2936,257,8.8
2020,D05,광진구,346682,3467,189,5.5
2020,D06,동대문구,342837,3428,229,6.7
2020,D07,중랑구,394702,3947,287,7.3
2020,D08,성북구,437153,4372,394,9.0
2020,D09,강북구,308055,3081,287,9.3
2020,D10,도봉구,325257,3253,378,11.6
2020,D11,노원구,523037,5230,457,8.7
2020,D12,은평구,479835,4798,304,6.3
2020,D13,서대문구,312173,3122,211,6.8
2020,D14,마포구,371890,3719,339,9.1
2020,D15,양천구,454251,4543,238,5.2
2020,D16,강서구,580185,5802,460,7.9
2020,D17,구로구,404408,4044,233,5.8
2020,D18,금천구,231733,2317,211,9.1
2020,D19,영등포구,379480,3795,271,7.1
2020,D20,동작구,391220,3912,218,5.6
2020,D21,관악구,495060,4951,284,5.7
2020,D22,서초구,425126,4251,247,5.8
2020,D23,강남구,539231,5392,238,4.4
2020,D24,송파구,667960,6680,270,4.0
2020,D25,강동구,459970,4600,194,4.2
2019,C01,서울시,9729107,97291,10913,11.2
2019,D01,종로구,151290,1513,335,22.1
2019,D02,중구,126171,1262,234,18.5
2019,D03,용산구,228670,2287,308,13.5
2019,D04,성동구,300889,3009,413,13.7
2019,D05,광진구,351350,3514,430,12.2
2019,D06,동대문구,346194,3462,287,8.3
2019,D07,중랑구,397015,3970,516,13.0
2019,D08,성북구,442650,4427,500,11.3
2019,D09,강북구,313954,3140,544,17.3
2019,D10,도봉구,333362,3334,747,22.4
2019,D11,노원구,532905,5329,515,9.7
2019,D12,은평구,480032,4800,513,10.7
2019,D13,서대문구,309397,3094,286,9.2
2019,D14,마포구,374035,3740,525,14.0
2019,D15,양천구,458165,4582,529,11.5
2019,D16,강서구,591796,5918,561,9.5
2019,D17,구로구,406664,4067,471,11.6
2019,D18,금천구,232810,2328,305,13.1
2019,D19,영등포구,367678,3677,494,13.4
2019,D20,동작구,395963,3960,309,7.8
2019,D21,관악구,500094,5001,500,10.0
2019,D22,서초구,430826,4308,272,6.3
2019,D23,강남구,545169,5452,569,10.4
2019,D24,송파구,675961,6760,419,6.2
2019,D25,강동구,436067,4361,331,7.6
2018,C01,서울시,9765623,97656,12224,12.5
2018,D01,종로구,153065,1531,343,22.4
2018,D02,중구,125725,1257,232,18.5
2018,D03,용산구,228999,2290,309,13.5
2018,D04,성동구,308221,3082,481,15.6
2018,D05,광진구,355559,3556,512,14.4
2018,D06,동대문구,348052,3481,301,8.6
2018,D07,중랑구,403209,4032,596,14.8
2018,D08,성북구,435868,4359,520,11.9
2018,D09,강북구,319164,3192,596,18.7
2018,D10,도봉구,339413,3394,726,21.4
2018,D11,노원구,543752,5438,629,11.6
2018,D12,은평구,483197,4832,511,10.6
2018,D13,서대문구,310313,3103,409,13.2
2018,D14,마포구,375077,3751,606,16.2
2018,D15,양천구,464185,4642,548,11.8
2018,D16,강서구,596949,5969,617,10.3
2018,D17,구로구,404497,4045,498,12.3
2018,D18,금천구,233917,2339,410,17.5
2018,D19,영등포구,367778,3678,607,16.5
2018,D20,동작구,396203,3962,343,8.7
2018,D21,관악구,501957,5020,738,14.7
2018,D22,서초구,433951,4336,262,6.0
2018,D23,강남구,542364,5424,566,10.4
2018,D24,송파구,666635,6666,494,7.4
2018,D25,강동구,424573,4246,370,8.7
2017,C01,서울시,9857426,98574,11871,12.0
2017,D01,종로구,154770,1548,260,16.8
2017,D02,중구,125709,1257,193,15.4
2017,D03,용산구,229161,2291,237,10.3
2017,D04,성동구,304808,3048,434,14.2
2017,D05,광진구,357703,3577,433,12.1
2017,D06,동대문구,350647,3506,530,15.1
2017,D07,중랑구,408226,4082,470,11.5
2017,D08,성북구,444055,4441,558,12.6
2017,D09,강북구,324479,3245,465,14.3
2017,D10,도봉구,344166,3442,495,14.4
2017,D11,노원구,554403,5544,617,11.1
2017,D12,은평구,486794,4868,566,11.6
2017,D13,서대문구,312800,3128,350,11.2
2017,D14,마포구,374915,3749,573,15.3
2017,D15,양천구,471154,4712,580,12.3
2017,D16,강서구,601691,6017,650,10.8
2017,D17,구로구,410742,4107,476,11.6
2017,D18,금천구,235154,2352,385,16.4
2017,D19,영등포구,368550,3686,538,14.6
2017,D20,동작구,396217,3962,451,11.4
2017,D21,관악구,503297,5033,753,15.0
2017,D22,서초구,441102,4411,251,5.7
2017,D23,강남구,556164,5562,545,9.8
2017,D24,송파구,664496,6645,519,7.8
2017,D25,강동구,436223,4362,542,12.4
2016,C01,서울시,9930616,99306,12369,12.5
2016,D01,종로구,152737,1527,257,16.8
2016,D02,중구,125249,1252,194,15.5
2016,D03,용산구,230241,2302,270,11.7
2016,D04,성동구,299259,2993,453,15.1
2016,D05,광진구,357215,3572,388,10.9
2016,D06,동대문구,355069,3551,580,16.3
2016,D07,중랑구,411005,4110,499,12.1
2016,D08,성북구,450355,4504,632,14.0
2016,D09,강북구,327195,3272,506,15.5
2016,D10,도봉구,348220,3482,570,16.4
2016,D11,노원구,567581,5676,589,10.4
2016,D12,은평구,491476,4915,606,12.3
2016,D13,서대문구,314194,3142,358,11.4
2016,D14,마포구,379892,3799,568,15.0
2016,D15,양천구,477739,4777,561,11.7
2016,D16,강서구,595485,5955,646,10.8
2016,D17,구로구,417551,4176,476,11.4
2016,D18,금천구,235386,2354,385,16.4
2016,D19,영등포구,370613,3706,588,15.9
2016,D20,동작구,400997,4010,505,12.6
2016,D21,관악구,506851,5069,802,15.8
2016,D22,서초구,447192,4472,280,6.3
2016,D23,강남구,567115,5671,528,9.3
2016,D24,송파구,657831,6578,603,9.2
2016,D25,강동구,444168,4442,525,11.8
2015,C01,서울시,10022181,100222,12427,12.4
2015,D01,종로구,154986,1550,250,16.1
2015,D02,중구,125733,1257,304,24.2
2015,D03,용산구,233342,2333,266,11.4
2015,D04,성동구,297003,2970,493,16.6
2015,D05,광진구,360369,3604,415,11.5
2015,D06,동대문구,360153,3602,555,15.4
2015,D07,중랑구,413909,4139,508,12.3
2015,D08,성북구,459275,4593,682,14.8
2015,D09,강북구,330873,3309,593,17.9
2015,D10,도봉구,351242,3512,586,16.7
2015,D11,노원구,574583,5746,616,10.7
2015,D12,은평구,497920,4979,535,10.7
2015,D13,서대문구,312141,3121,401,12.8
2015,D14,마포구,387643,3876,536,13.8
2015,D15,양천구,484532,4845,462,9.5
2015,D16,강서구,589074,5891,645,10.9
2015,D17,구로구,422092,4221,474,11.2
2015,D18,금천구,236284,2363,358,15.2
2015,D19,영등포구,378504,3785,566,15.0
2015,D20,동작구,400641,4006,564,14.1
2015,D21,관악구,509663,5097,758,14.9
2015,D22,서초구,446764,4468,230,5.1
2015,D23,강남구,576495,5765,628,10.9
2015,D24,송파구,660302,6603,456,6.9
2015,D25,강동구,458658,4587,546,11.9
2014,C01,서울시,10103233,101032,11870,11.7
2014,D01,종로구,156993,1570,236,15.0
2014,D02,중구,128065,1281,309,24.1
2014,D03,용산구,235951,2360,272,11.5
2014,D04,성동구,296086,2961,535,18.1
2014,D05,광진구,363354,3634,400,11.0
2014,D06,동대문구,363687,3637,555,15.3
2014,D07,중랑구,418836,4188,488,11.7
2014,D08,성북구,466706,4667,701,15.0
2014,D09,강북구,335025,3350,550,16.4
2014,D10,도봉구,353709,3537,582,16.5
2014,D11,노원구,582552,5826,669,11.5
2014,D12,은평구,498644,4986,494,9.9
2014,D13,서대문구,310376,3104,389,12.5
2014,D14,마포구,385439,3854,398,10.3
2014,D15,양천구,486221,4862,429,8.8
2014,D16,강서구,585160,5852,615,10.5
2014,D17,구로구,425831,4258,515,12.1
2014,D18,금천구,238463,2385,311,13.0
2014,D19,영등포구,382352,3824,551,14.4
2014,D20,동작구,407470,4075,503,12.3
2014,D21,관악구,513186,5132,473,9.2
2014,D22,서초구,449678,4497,238,5.3
2014,D23,강남구,578114,5781,658,11.4
2014,D24,송파구,664738,6647,494,7.4
2014,D25,강동구,476597,4766,505,10.6
2013,C01,서울시,10143645,101436,11936,11.8
2013,D01,종로구,160070,1601,227,14.2
2013,D02,중구,130465,1305,367,28.1
2013,D03,용산구,239740,2397,268,11.2
2013,D04,성동구,299337,2993,494,16.5
2013,D05,광진구,368927,3689,396,10.7
2013,D06,동대문구,364273,3643,452,12.4
2013,D07,중랑구,416798,4168,508,12.2
2013,D08,성북구,476589,4766,702,14.7
2013,D09,강북구,338707,3387,573,16.9
2013,D10,도봉구,358582,3586,596,16.6
2013,D11,노원구,590479,5905,1136,19.2
2013,D12,은평구,503660,5037,448,8.9
2013,D13,서대문구,314110,3141,404,12.9
2013,D14,마포구,381856,3819,367,9.6
2013,D15,양천구,492528,4925,481,9.8
2013,D16,강서구,569070,5691,609,10.7
2013,D17,구로구,424964,4250,549,12.9
2013,D18,금천구,241020,2410,246,10.2
2013,D19,영등포구,386471,3865,533,13.8
2013,D20,동작구,410815,4108,400,9.7
2013,D21,관악구,518028,5180,396,7.6
